"AreaName","ElementName","ItemName","Year","Value","Flag"
"Italy","Emissions (CO2eq)","Agriculture total",1990,39859.32,"A"
"Italy","Emissions (CO2eq)","Agriculture total",1991,38173.47,"A"
"Italy","Emissions (CO2eq)","Agriculture total",1992,37629.37,"A"
"Italy","Emissions (CO2eq)","Agriculture total",1993,36513.03,"A"
"Italy","Emissions (CO2eq)","Agriculture total",1994,36017.06,"A"
"Italy","Emissions (CO2eq)","Agriculture total",1995,35138.63,"A"
"Italy","Emissions (CO2eq)","Agriculture total",1996,35548.34,"A"
"Italy","Emissions (CO2eq)","Agriculture total",1997,34929.33,"A"
"Italy","Emissions (CO2eq)","Agriculture total",1998,34947.84,"A"
"Italy","Emissions (CO2eq)","Agriculture total",1999,35192.49,"A"
"Italy","Emissions (CO2eq)","Agriculture total",2000,35163.34,"A"
"Italy","Emissions (CO2eq)","Agriculture total",2001,31585.32,"A"
"Italy","Emissions (CO2eq)","Agriculture total",2002,33598.25,"A"
"Italy","Emissions (CO2eq)","Agriculture total",2003,32672.34,"A"
"Italy","Emissions (CO2eq)","Agriculture total",2004,33234.79,"A"
"Italy","Emissions (CO2eq)","Agriculture total",2005,32037.58,"A"
"Italy","Emissions (CO2eq)","Agriculture total",2006,31845.05,"A"
"Italy","Emissions (CO2eq)","Agriculture total",2007,31972.84,"A"
"Italy","Emissions (CO2eq)","Agriculture total",2008,31627.9,"A"
"Italy","Emissions (CO2eq)","Agriculture total",2009,30511.02,"A"
"Italy","Emissions (CO2eq)","Agriculture total",2010,30639.55,"A"
"Italy","Emissions (CO2eq)","Agriculture total",2011,30094.77,"A"
"Italy","Emissions (CO2eq)","Agriculture total",2012,32100.87,"A"
"Italy","Emissions (CO2eq)","Agriculture total",2013,8300.54,"A"
